title,creation_date,medium,accession_number,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,provenance_text,classification,party_type,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
St. Augustine with Members of the Confraternity of Perugia,  1500,oil on panel,61.42.1,Acquired through the generosity of Mrs. Alan M. Scaife,11/29/61,Fine Arts,"Gallery 1, Scaife Galleries",25.375,37.375,6.625,0,"Perugino [1450?-1523]. Commissioned by Confraternity of St. Augustine, Perugia, Italy, 1500? [1]. Possibly Confraternity of St. Augustine sale, Perugia, Italy, in the 17th century [2]. Lucien Bonaparte [1775-1840], Paris, France, by 1802 until February 6, 1815 [3]; (sold at Buchanan, London, February 6, 1815, no. 86) [4]; Chevalier Boyer, his nephew, London, England, until May 16, 1816 [5]. Christian William Huybens, London, England, by 1822; (sold at George Stanley, London, England, March 27, 1822, lot 110) [6]. Acquired by L. J. Nieuwenhuys, July 15, 1823 [7]; purchased by King Willem II of the Netherlands [1792-1849], Kneuterdijk Palace, The Hague, Netherlands, after July 1823 until 1849 [8]; Estate of King William II, 1849 until August 12, 1850. King Willem II of the Netherlands sale, Kneuterdijk Palace, The Hague, Netherlands, on August 12, 1850, no. 169 [9]. King William II of the Netherlands sale, 1851. (Weimar as agent, 1851) [10]; Prince Hendrik of the Netherlands [1820-1879], Luxembourg, 1851 until 1879 [11]; by descent to Grand Duchess Sophie [1824-1897], Grand-Duchal Palace, Weimar, Germany, 1883 [12]. By descent to Grand Duke Willhelm Ernst [1876-1923], Weimar, Germany, 1901? until 1923 [13]. Schlossmuseum Weimar, Weimar, Germany, by 1926 [14]. (Sold at Cassirer, Amsterdam, Netherlands); Richard Weininger, Berlin, Germany, by January 1930 [15]. (Wildenstein & Company, Inc., New York, NY); Mr. and Mrs. Alfred W. Erickson, New York, NY; estate of Mrs. Alfred W. Erickson until November 1961; (sold at Parke-Bernet Galleries, New York, November 15, 1961) [16]; purchased by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, November 1961. 
NOTES: [1] See O'Malley, ""Quality, Demand, and the Pressures of Reputation: Rethinking Perugino"", The Art Bulletin, Volume LXXXIX, Number 4, 2007 for information on the date of commission and completion of this work. [2] In the exhibition catalogue for the 1930 Royal Academy exhibition Italian Art 1200-1900, the provenance reports that this work was ""Sold by auction of the Brothers in the 17th century."" See page 208. [3] For information on Lucien Bonaparte's ownership of this work, see Béatrice Edelein-Badie, ""La collection de tableaux de Lucien Bonparte, prince de Canino"", 1995, page 239 and generally. This work then appears on page 126, plate 28, of ""Choix de gravures à l'eau-forte d'après les peintures et les marbres de la galerie de Lucien Bonaparte"", published in 1812. It is then listed for sale in Bonaparte's auction on Febuary 6. 1815. [4] Bought in. [5] Because this work was bought in at the Bonaparte sale in 1815, in 1816 it appears in the ""Catalogue of the Splendid Collection of Pictures Belonging to Lucien Buonaparte, Prince of Canino"". It advertises an exhibition of works ""Now on private view at Chevalier Boyer's, No. 31 Leicester Square, London."" Inside is a disclosure that ""Proposals for the Purchase of any of the Pictures in this Collection are to be made to the Chevalier Boyer, nephew of Lucien Buonaparte, Prince of Canino, at No. 31 Leicester Square."" This work is listed as no. 80,  ""St. Augustine"" on page 22. The sale occurred on May 14-16, 1816. [6] This sale was entitled ""The beautiful, choice, and truly valuable collection of pictures, the property of Christian William Huybens, a bankrupt; comprising unusually fine specimens of the greatest masters of the Florentine, Roman, Venetian, Lombard, and Bolognese schools, with many exquiste bijoux of the renowned and highly coveted painters of Flanders and Holland"", and sold for £68.5 according to the Getty Provenance Index. [7] his work was bought for Dfl 2,825. See ""'A small but choice collection'; the Art Gallery of King Willem II of the Netherlands"" by Hinterding and Horsch, pg. 108. [8] See Hinterding and Horsch, pg. 10. This work is recorded as being purchased by Nieuwenhuys in July of 1823, and then sold to King Willem II sometime after. [9] This work is bought in at this sale, failing to reach its reserve of Dfl. 8,000, only reaching Dfl. 7,400. See Hinterding and Horsch, pg 108. [10] Hinterding and Horsch list this work as being sold for Dfl. 6,000 to ""Weimar (art dealer) for Prince Hendrik"", referring to [11] Prince Hendrik, or Prince Willem Frederik Hendrik was the 3rd son of King Willem II of the Netherlands, and third in line for the throne. By 1850, Prince Hendrik was serving as Governor of Luxembourg, a post he served in until his death. [12] Grand Duchess Sophie of Saxe-Weimar-Eisenach was the daughter of King Willem II, and the sister of Prince Hendrik. She married her first cousin, Karl Alexander August Johann, Grand Duke of Saxe-Weimar-Eisenach, also known as Charles Alexander. [13] It is likely that this work descended to Willhelm Ernst through his grandfather, Grand Duke Charles Alexander, the spouse of Grand Duchess Sophie. When Grand Duke Charles Alexander died in 1901, Willhelm Ernst succeeded him as Grand Duke. This work is recorded as being in the possession of the ""Grand Duke, Weimar"" on page 191 in Bombe, ""Perugino: Des Meisters Gemälde"", written in 1914, so we know that it was with Willhelm Ernst at this point during his reign as Grand Duke. It then appears again in Umberto Gnoli's ""Pietro Perugino"", 1923, page 68, where the location is recorded as Weimar, and the ""Castello"" [14] This work is recorded as being in ""Schlossmuseum Weimar"" in Fritz Knapp ""Perugino"", 1926, and is number 69 in the book. Following the abdication of Grand Duke Wilhem Ernst in 1923, the title of Grand Duke was abolished, and the Schloss Weimar was turned in to a museum. [15] Weininger lent this work to the Royal Academy, London, for their exhibition on Italian Art from 1200-1900, which ran from January 1 until March 20, 1930. It appears on page 208 of the exhibition catalog, number 370, as ""St. Augustine"". [16] Erickson sale.",paintings,Person,Perugino,,Italian,1450-01-01,1523-02-01,"Città della Pieve (Perugia province, Umbria, Italy)","Fontignano (Perugia province, Umbria, Italy)"
Pieter Cornelisz. van der Morsch,1616,oil on canvas (transferred from panel),61.42.2,Acquired through the generosity of Mrs. Alan M. Scaife,11/29/61,Fine Arts,"Gallery 2, Scaife Galleries",27.25,34.438,1.75,0,"Frans Hals [c.1581-1666]. Van Tol, Zoeterwoude, Netherlands, until June 15, 1779 [1]; van Tol collection sale, June 15, 1779, no. 8 [2]; purchased by Mr. Delfos. Sold at Philippus van der Schley, Amsterdam, Netherlands, on June 16, 1802, no. 75 [3]; purchased by Barend Kooy [1750-1819], Amsterdam, Netherlands [4]; Barend Kooy collection until 1819; Kooy estate, 1819 until April 20, 1820; Kooy estate sale, April 20 1820, no. 38; purchased by Casparus Kopersmit [1784-1857] [5]. C. H. Hodges and Other Collections sale, Amsterdam, February 27, 1838, no. 294. Jan Andries Töpfer, Amsterdam, Netherlands, until November 16, 1841; Töpfer sale, November 16, 1841, no. 28 [6]; Tijssen, in 1841 [6]. Martin Colnaghi, London, England, by 1866; purchased by Thomas Baring, M. P. [1799-1873] in 1866; bequest to  his nephew, Thomas George Baring, Lord Northbrook, subsequently 1st Earl of Northbrook [1826-1904], London and Stratton Park, Hampshire, England, 1873 until 1904 [7]; by descent to his son, Francis George Baring, 2nd Earl of Northbrook, [1850-1929], London and Stratton Park, Hampshire, England, until 1927 [8]; purchased by Duveen Brothers, London, Paris, New York, NY in March 1927 [9]; purchased by Mr. Alfred W. Erickson [1876-1936], New York, NY, January 1929 until November 2, 1936; by inheritance to his wife, Anna Edith Erickson [-1961], New York, NY, November 2, 1936 until February 7, 1961; estate of Anna Edith Erickson, February 7, 1961 until November 15, 1961; Erickson sale, Parke-Bernet Galleries, New York, NY, November 15, 1961, no. 13 [10]; purchased, with funds provided by Mrs. Alan Mellon Scaife, by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, November 1961. 

Notes: 
[1]. The location of this owner is recorded as Zoeterwoude, near Leyden. Leyden is the older Dutch spelling of the city of Leiden, which borders the municipality of Zoeterwoude. 
[2]. Sold for 15 fl. The date of the van Tol sale is from the Frick Art Reference Library Photoarchive and also from the provenance of another painting lot in the same sale, now at the National Gallery of Art, Washington DC. The sale date of June 15, 1772 given in the 1889 Northbrook collection catalogue is apparently in error. 
[3]. The seller is identified in the Getty Provenance Index as ""Merrem."" 
[4]. Purchased for 55 fl. 
[5]. Purchased for 10 fl. The purchaser Casparus Kopersmit, identified in the Getty Provenance Index, was married to Barend Kooy's daughter Alida Elisabeth Kooy. See curatorial file. 
[6]. Frick Photoarchive gives the purchaser's name asTijssen and records15 fl 50 as the purchase price. See copies of the Frick Library annotated sale catalague and of Frick Photoarchive record for the work. 
[7]. See 1889 catalogue of the Earl of Northbrook collection, no. 61. 
[8]. The painting was listed by a Duveen representative as hanging in the dining room of the Earl's London house in 1913.
[9]. See copies of Duveen correspondence (from the Getty Research Institute) in curatorial file regarding the sale of the Hals, still on panel, as part of a group of seven paintings.
[10]. Sale entitled ""The Erickson Collection of Old Master Paintings.""",paintings,Person,"Hals, Frans",,Dutch,1576-01-01,1666-08-29,"Antwerp, Belgium","Haarlem, Netherlands"
Walking Man I,1960,bronze,61.48,Patrons Art Fund,11/29/61,Contemporary Art,"Gallery 13, Scaife Galleries",38,71.75,1.5,0,"Alberto Giacometti [1901-1966], Paris, France; Pierre Matisse Gallery, New York, NY [1]; purchased by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, November 1961 [2].

Notes:
[1]. The sculpture was included (no. 126) in ""The 1961 Pittsburgh International Exhibition of Contemporary Painting and Sculpture"" held at Carnegie Institute, Pittsburgh, PA, October 1961 - January 1962. It was lent by Pierre Matisse Gallery.
[2]. The sculpture won First Prize for Sculpture at the 1961 International. It was reserved for Carnegie Institute in October 1961 (see copies of correspondence with Pierre Matisse in curatorial file) and accessioned on November 29, 1961. Pierre Matisse Gallery acknowledged receipt of payment on April 13, 1962.",sculpture,Person,"Giacometti, Alberto",,Swiss,1/1/01,1/1/66,"Borgonovo Val Tidone (Piacenza province, Emilia-Romagna, Italy)","Chur (Graubünden, Switzerland)"
The Honorable Mrs. Trevor (Viscountess Hampden),1779-1780,oil on canvas,61.5,Gift of Sarah Mellon Scaife,2/2/61,Fine Arts,"Gallery 2, Scaife Galleries",58.5,93.5,2,0,"George Romney [1734-1802], London, England; Thomas Trevor Hampden, 2nd Viscount Hampden [1746-1824]; Right Honorable Jane Maria, Viscountess Hampden, his second wife, until 1833; by descent to George W. Hope, her nephew [1808-1863], in 1833; by descent to Henry W. Hope, his son [1839-1913], until 1913; estate of Henry W. Hope, 1913 until December 1919 [1]; sold at Christie, Manson & Woods, London, on December 12, 1919, no. 67 [2]; purchased by Blair [3]. M. Knoedler & Company, London and New York, NY, December 18, 1919 until August 23, 1921 [4]; purchased by Richard B. Mellon [1858-1933], Pittsburgh, PA on August 23, 1921 [5]; Mrs. Sarah Mellon Scaife, his daughter [1903-1965], Pittsburgh, PA until February 1961 [6]; her gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, February 1961. 

Notes:
[1]. See curatorial file for information on the Hampden and Hope families.  
[2]. Listed as as ""The Property of the Trustees of the Late Henry W. Hope, Esq."" in the sale entitled ""Early British Portraits and Pictures by Old Masters"".  The catalogue entry indicates that the work was illustrated, but no illustration was included in the Frick Reference Library copy.  
[3]. Purchased for £3780, from the annotated auction catalogue at the Frick Reference Library. The Knoedler London and New York stock books indicate that P. & D. Colnaghi & Co, London purchased the picture from (or after?) this auction for £3675; it is possible that ""Blair"" represented Colnaghi or that the picture was first bought-in; see also note [4] below. 
[4]. Knoedler London No. 6565 and Knoedler New York No. 14937 in joint account with Colnaghi (1/2 share). 
[5]. Sometimes referred to as R. B. Mellon or by his full name, Richard Beatty Mellon. He purchased the picture at Knoedler London for £18000. The information for the Colnaghi-Knoedler relationship in this painting comes from the Knoedler Archives, The Getty Research Institute.
[6]. Sarah Mellon Scaife retained life interest in this work until December 1965. The Museum formally received the painting from the estate in November 1966.",paintings,Person,"Romney, George",,British,1734-01-01,1802-01-01,"Dalton-in-Furness, Lancs, England","Kendal, Cumbria, England"
Allegory of Winter and Autumn,  1575-1585,oil on canvas,62.13,Patrons Art Fund: gift of the Howard Heinz Endowment,2/15/62,Fine Arts,"Gallery 2, Scaife Galleries",56.5,63.25,4.5,0,"Baron Wilhelm Ofenheim, Schloss Jaispitz, Moravia, by 1962; sold at Rosenberg & Stiebel, New York, until February 1962; purchased by Museum, February 1962.",paintings,Person,"Robusti, Jacopo",,Italian,1518-01-01,1594-01-01,"Venice (Venezia province, Veneto, Italy)","Venice (Venezia province, Veneto, Italy)"
Water Lilies (Nymphéas),  1915 - 1926,oil on canvas,62.19.1,Acquired through the generosity of Mrs. Alan M. Scaife,7/5/62,Fine Arts,"Gallery 8, Scaife Galleries",234.875,77.938,0,0,"Claude Oscar Monet [1840-1926], until 1926; estate of Claude Oscar Monet, France, 1926; Michel Monet [1878-1966], son of the artist, Sorel-Moussel, Eure-et-Loir, France, 1926 until 1950; Walter P. Chrysler, Jr. [1909-1988], New York, NY, 1950 until April 10, 1962 [1]; purchased by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, July 1962.

Notes:
[1]. See original bill of sale dated April 10, 1962 from Mr. Chrysler to Carnegie Institute. The museum's accesion of the work was on July 5, 1962.",paintings,Person,"Monet, Claude",,French,1840-11-14,12/5/26,"Paris (Île-de-France, France)","Giverny (Haute-Normandie, France)"
Odalisque Coiffure Verte (Odalisque with Green Headdress),1923,oil on canvas,62.19.2,Acquired through the generosity of Mrs. Alan M. Scaife,7/5/62,Fine Arts,"Gallery 8, Scaife Galleries",23.75,31.875,2.25,0,"Henri Matisse [1869-1954]; M. Paul Guillaume [1891-1934], Paris, France. Galerie Beyeler, Basel, Switzerland until February 8, 1962; M. Knoedler & Co., Inc., New York, NY, February 8, 1962 until April 3, 1962 [1]; purchased by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, July 1962 [2]. 

Notes:
[1]. Knoedler stock no. A-8187, as ""L'Odalisque a la cruche."" Knoedler purchased the painting from Galerie Beyeler for $70,000. See curatorial file for copies of relevant entries from the Knoedler archive, The Getty Research Institute.
[2]. Knoedler's bill is dated April 3, 1962; payment was acknowledged on April 11, 1962. The painting was accessioned on July 5, 1962.",paintings,Person,"Matisse, Henri",,French,1869-01-01,1/1/54,"Le Cateau-Cambrésis (Nord, Nord-Pas-de-Calais, France)","Nice (Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France)"
Street by the Mill,  1932,oil on canvas,62.28,"Gift of Mr. and Mrs. Charles Dreifus, Jr., in memory of his father",10/30/62,Fine Arts,"Gallery 11, Scaife Galleries",40.75,36.5,1.75,0,"Samuel Rosenberg [1896-1972], Pittsburgh, PA, until 1961; Mr. [c. 1908-1966] and Mrs. Charles Dreifus, Jr., San Francisco, CA, 1961 until October 30, 1962; their gift to Museum in memory of his father, October 1962.

Under review by CGK",paintings,Person,"Rosenberg, Samuel",,American,1896-01-01,1/1/72,"Philadelphia (Philadelphia county, Pennsylvania, United States)","Pittsburgh (Allegheny county, Pennsylvania, United States)"
The Bath (Le bain),  1895,oil on canvas,62.37.1,Acquired through the generosity of Mrs. Alan M. Scaife,12/20/62,Fine Arts,"Gallery 8, Scaife Galleries",45.75,33,5,0,"Hilaire-Germain-Edgar Degas [1834-1917], Paris, France, until 1917; his estate, Atelier Degas, Paris, France, September 1917 until May 1918; sale, Galerie Georges Petit, Paris, France, May 6, 1918 until May 8, 1918, no. 39 [1]; purchased by Ambroise Vollard [1866-1939], Paris, France [2]. Likely Durand-Ruel, Paris, France, 1918 [3]; Sam Salz [1894-1981], Inc., New York, NY, 1940? until December 1962 [4]; purchased by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, December 1962. 

Notes:
[1]. This was Degas Atelier Sale I. The work was illustrated in the catalogue.
[2]. Possibly in shares with Durand-Ruel, Paris, for 10,100 francs.  Information about the early provenance of the work included in Rebecca A. Rabinow, ed., “Cézanne to Picasso. Ambroise Vollard, Patron of the Avant-Garde,” The Metropolitan Museum of Art, New York, NY, 2006, no. 52, pp. 345-46. 
[3]. Stock no. 11296. 
[4]. Stock no. 11301; the work was possibly purchased on May 6, 1940 (see reference in Note [2] above.) Sam Salz, in correspondence with the museum (telegram dated February 4, 1963,) states that he bought the paitning directly from Durand-Ruel but gives no indication as to the date of purchase.",paintings,Person,"Degas, Edgar",,French,1834-07-19,9/27/17,"Paris (Île-de-France, France)","Paris (Île-de-France, France)"
The Residence of David Twining,  1845-1846,oil on canvas,62.39,Howard N. Eavenson Memorial Fund for the Howard N. Eavenson Americana Collection,12/20/62,Fine Arts,"Gallery 3, Scaife Galleries",29.5,26,2.5,0,"Edward Hicks [1780-1849], Newtown, PA; Sarah Twining Hopkins Loines [1786-1869], New York, NY [1]; her daughter, Elizabeth H. Loines Carpenter (Mrs. William S. Carpenter) [1818-?], New York, NY; her son, Francis William Carpenter [1845-?] [2]; by descent to his daughters, the Misses Carpenter, Greenwich, CT [3]; North Greenwich Congregational Church, Greenwich, CT, until December 1961 [4]; M. Knoedler and Co., Inc., New York, NY, December 19, 1961 until November 12, 1962 [5]; purchased by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, December 1962. 

Notes:
[1]. Granddaughter of David Twining. For early provenance information see ""American Paintings and Sculpture to 1945 in the Carnegie Museum of Art,"" pages 255-256. For more extensive provenance information see Carolyn J. Weekley, with Laura Pass Barry ""The Kingdoms of Edward Hopper,"" Abby Aldrich Rockefeller Folk Art Center, The Colonial Williamsburg Foundation, in association with Harry N. Abrams, Inc., 1999, no. 69. The provenance information in the book is based on ""Edward Hicks"" by Mather and Miller.
[2]. Descendant of David Twining. A label with a hand-written inscription ""Mr. Frank Carpenter"" was affixed on the back of the painting at the time of its acquisition by Knoedler. It has been removed and it is now in the painting's conservation file.
[3]. See article by Fred A. Myers, Carnegie Magazine, December 1962, p. 329. Information in the curatorial file and in the publication ""The Kingdoms of Edward Hopper"" referenced in note [1] specifically identify three Carpenter sisters: Mary [c.1877-1967], Evelyn [c.1880-1967], and Grace [c.1880-1971]. 
[4]. ""The Kingdoms of Edward Hopper"" entry indicates that the painting was loaned or given to the church. The Knoedler stock book in note [5] below record the source as this church.
[5]. Knoedler stock no. A-8148, picture no. 60383. Knoedler purchased the painting for $35,000. See curatorial file for copies of relevant entries from the Knoedler archive, The Getty Research Institute and for Knoedler's invoice dated November 12, 1962.",paintings,Person,"Hicks, Edward",,American,1780-01-01,1849-01-01,,
[View from Uhlenhorst Ferry House on the Outer Alster Lake with St. Johannis],1913,oil on canvas,63.12.1,Purchased through the generosity of Mrs. Alan M. Scaife,10/8/63,Fine Arts,Forum Gallery,50.875,40,5,0,"Pierre Bonnard [1867-1947], Le Cannet, France, until January, 1947; estate of Pierre Bonnard, France, January 1947 until 1963; Wildenstein & Company, Inc., New York, NY, until October 1963; purchased by Museum of Art, Carnegie Institute, Pittsburgh, PA, October 1963.",paintings,Person,"Bonnard, Pierre",,French,1867-10-03,1/27/47,"Fontenay-aux-Roses (Île-de-France, France)","le Cannet (Provence-Alpes-Côte d'Azur, France)"
Plate,1793,porcelain with enamel and gilded decoration,63.16.2.1,Jennie B. and Lois E. Scaife Fund,10/8/63,Decorative Arts and Design,"Gallery 19, Bruce Galleries",13.875,1.75,9.313,0,"The Antique Porcelain Co., Ltd, London, England",Ceramics,Person|Person|Organization,"Barrat, François-Marie|Chauvaux, Jean, le jeune|Sèvres Porcelain Factory",painter|gilder|manufacturer,French,1751-01-01|1735-01-01|1756-01-01,1796-01-01|1802-01-01|,"|Paris (Île-de-France, France)|","|Sèvres (Île-de-France, France)|"
Plate,1793,porcelain with enamel and gilded decoration,63.16.2.2,Jennie B. and Lois E. Scaife Fund,10/8/63,Decorative Arts and Design,"Gallery 19, Bruce Galleries",14,1.562,9.375,0,"The Antique Porcelain Co., Ltd., London, England",Ceramics,Person|Person|Organization,"Barrat, François-Marie|Chauvaux, Jean, le jeune|Sèvres Porcelain Factory",painter|gilder|manufacturer,French,1751-01-01|1735-01-01|1756-01-01,1796-01-01|1802-01-01|,"|Paris (Île-de-France, France)|","|Sèvres (Île-de-France, France)|"
Mary Mourning the Dead Christ,  1765,porcelain and gilded bronze,63.17.3,Mary Junkin Cowley Fund,10/8/63,Decorative Arts and Design,"Gallery 2, Scaife Galleries",13.375,28,9.75,0,"Newman and Newman (Antiques) Ltd., London, England",Ceramics,Organization,Tournai Porcelain Factory,manufacturer,Belgian,1751-01-01,1850-01-01,,
